index,filename,blob_px,cx_px,cy_px,bw_px,bh_px
756,frame_000756.jpg,11,1029.5,444.0,24.0,16.0
757,frame_000757.jpg,12,1029.3,444.7,24.0,16.0
758,frame_000758.jpg,11,1029.8,445.1,16.0,16.0
759,frame_000759.jpg,13,1028.9,446.8,24.0,20.0
760,frame_000760.jpg,14,1028.9,447.4,24.0,20.0
761,frame_000761.jpg,12,1029.7,448.3,16.0,20.0
762,frame_000762.jpg,13,1030.2,450.8,20.0,20.0
763,frame_000763.jpg,14,1028.9,451.4,24.0,20.0
764,frame_000764.jpg,13,1029.2,452.0,24.0,20.0
765,frame_000765.jpg,10,1029.6,453.6,16.0,16.0
766,frame_000766.jpg,13,1029.8,455.1,20.0,20.0
767,frame_000767.jpg,12,1029.3,455.3,24.0,20.0
768,frame_000768.jpg,13,1033.2,456.9,32.0,16.0
769,frame_000769.jpg,10,1029.6,457.6,16.0,16.0
770,frame_000770.jpg,13,1029.8,459.1,20.0,20.0
771,frame_000771.jpg,10,1029.2,458.0,24.0,12.0
772,frame_000772.jpg,13,1033.2,460.9,32.0,16.0
773,frame_000773.jpg,10,1029.6,461.6,16.0,16.0
774,frame_000774.jpg,9,1029.8,461.8,20.0,12.0
775,frame_000775.jpg,11,1029.1,464.7,24.0,20.0
776,frame_000776.jpg,9,1028.0,465.8,20.0,16.0
777,frame_000777.jpg,13,1028.0,468.9,20.0,24.0
778,frame_000778.jpg,9,1029.3,466.7,24.0,8.0
779,frame_000779.jpg,7,1029.1,467.4,24.0,8.0
780,frame_000780.jpg,10,1028.8,472.4,20.0,16.0
781,frame_000781.jpg,12,1028.7,474.7,16.0,20.0
782,frame_000782.jpg,13,1028.0,474.8,20.0,20.0
783,frame_000783.jpg,14,1028.9,476.0,20.0,20.0
784,frame_000784.jpg,14,1028.9,476.6,20.0,16.0
785,frame_000785.jpg,12,1029.3,478.0,16.0,20.0
786,frame_000786.jpg,14,1029.4,478.9,24.0,20.0
787,frame_000787.jpg,18,1032.0,479.3,32.0,20.0
788,frame_000788.jpg,14,1028.9,480.9,20.0,16.0
789,frame_000789.jpg,17,1031.5,480.2,32.0,16.0
790,frame_000790.jpg,20,1032.0,481.6,32.0,20.0
791,frame_000791.jpg,17,1028.2,483.1,20.0,20.0
792,frame_000792.jpg,16,1028.0,483.5,20.0,20.0
793,frame_000793.jpg,15,1028.0,484.8,20.0,20.0
794,frame_000794.jpg,16,1028.0,485.8,20.0,24.0
795,frame_000795.jpg,17,1028.0,486.8,20.0,24.0
796,frame_000796.jpg,18,1025.6,487.8,28.0,20.0
797,frame_000797.jpg,16,1027.0,487.8,20.0,20.0
798,frame_000798.jpg,18,1024.7,488.9,32.0,24.0
799,frame_000799.jpg,21,1023.0,490.1,36.0,24.0
800,frame_000800.jpg,19,1021.7,491.2,32.0,20.0
801,frame_000801.jpg,19,1021.7,491.2,32.0,20.0
802,frame_000802.jpg,16,1025.5,492.8,20.0,24.0
803,frame_000803.jpg,16,1025.0,494.8,20.0,20.0
804,frame_000804.jpg,22,1020.2,494.2,32.0,20.0
805,frame_000805.jpg,15,1024.5,495.2,20.0,20.0
806,frame_000806.jpg,16,1024.8,496.0,20.0,24.0
807,frame_000807.jpg,15,1025.1,498.1,16.0,24.0
808,frame_000808.jpg,15,1023.7,499.7,16.0,20.0
809,frame_000809.jpg,14,1024.0,500.3,16.0,20.0
810,frame_000810.jpg,12,1024.0,500.3,16.0,20.0
811,frame_000811.jpg,12,1024.3,502.3,12.0,20.0
812,frame_000812.jpg,14,1023.4,503.1,16.0,20.0
813,frame_000813.jpg,11,1023.6,503.6,16.0,20.0
814,frame_000814.jpg,12,1023.3,504.0,16.0,20.0
815,frame_000815.jpg,10,1024.0,504.8,12.0,16.0
816,frame_000816.jpg,10,1022.8,505.6,16.0,16.0
817,frame_000817.jpg,10,1023.2,507.2,16.0,20.0
818,frame_000818.jpg,11,1023.3,508.7,16.0,16.0
819,frame_000819.jpg,10,1022.8,509.2,16.0,16.0
820,frame_000820.jpg,14,1018.3,510.0,28.0,16.0
821,frame_000821.jpg,11,1022.5,510.2,16.0,16.0
822,frame_000822.jpg,8,1022.0,512.0,16.0,12.0
823,frame_000823.jpg,9,1019.6,512.9,16.0,12.0
824,frame_000824.jpg,7,1021.1,512.6,12.0,12.0
825,frame_000825.jpg,7,1021.1,512.6,12.0,12.0
826,frame_000826.jpg,7,1021.1,516.0,12.0,12.0
827,frame_000827.jpg,8,1020.5,516.5,12.0,12.0
828,frame_000828.jpg,6,1020.7,517.3,12.0,12.0
829,frame_000829.jpg,7,1021.1,520.6,12.0,16.0
830,frame_000830.jpg,6,1020.7,519.3,12.0,12.0
831,frame_000831.jpg,0,,,,
832,frame_000832.jpg,7,1020.6,523.4,12.0,16.0
833,frame_000833.jpg,6,1021.3,525.3,16.0,12.0
834,frame_000834.jpg,6,1021.3,525.3,16.0,12.0
835,frame_000835.jpg,6,1021.3,526.0,16.0,12.0
836,frame_000836.jpg,6,1021.3,526.0,16.0,12.0
837,frame_000837.jpg,0,,,,
838,frame_000838.jpg,0,,,,
839,frame_000839.jpg,6,1020.0,530.0,12.0,8.0
840,frame_000840.jpg,0,,,,
841,frame_000841.jpg,0,,,,
842,frame_000842.jpg,0,,,,
843,frame_000843.jpg,6,1019.3,533.3,12.0,12.0
844,frame_000844.jpg,0,,,,
845,frame_000845.jpg,0,,,,
846,frame_000846.jpg,0,,,,
847,frame_000847.jpg,0,,,,
848,frame_000848.jpg,0,,,,
849,frame_000849.jpg,0,,,,
850,frame_000850.jpg,0,,,,
851,frame_000851.jpg,0,,,,
852,frame_000852.jpg,0,,,,
853,frame_000853.jpg,0,,,,
854,frame_000854.jpg,0,,,,
855,frame_000855.jpg,0,,,,
856,frame_000856.jpg,0,,,,
857,frame_000857.jpg,0,,,,
858,frame_000858.jpg,0,,,,
859,frame_000859.jpg,0,,,,
860,frame_000860.jpg,0,,,,
861,frame_000861.jpg,0,,,,
862,frame_000862.jpg,0,,,,
863,frame_000863.jpg,0,,,,
864,frame_000864.jpg,0,,,,
865,frame_000865.jpg,0,,,,
866,frame_000866.jpg,0,,,,
867,frame_000867.jpg,0,,,,
868,frame_000868.jpg,6,1022.0,584.0,24.0,4.0
869,frame_000869.jpg,8,1018.0,584.0,32.0,4.0
870,frame_000870.jpg,9,1020.0,584.0,36.0,4.0
871,frame_000871.jpg,9,1020.0,584.0,36.0,4.0
872,frame_000872.jpg,10,1018.0,584.8,32.0,8.0
873,frame_000873.jpg,13,1020.6,586.2,28.0,8.0
874,frame_000874.jpg,10,1018.0,587.2,32.0,8.0
875,frame_000875.jpg,10,1018.0,587.2,32.0,8.0
876,frame_000876.jpg,9,1018.2,587.6,32.0,8.0
