index,filename,width,height,green_px
931,frame_000931.jpg,1920,1080,942
932,frame_000932.jpg,1920,1080,958
933,frame_000933.jpg,1920,1080,915
934,frame_000934.jpg,1920,1080,911
935,frame_000935.jpg,1920,1080,945
936,frame_000936.jpg,1920,1080,938
937,frame_000937.jpg,1920,1080,941
938,frame_000938.jpg,1920,1080,908
939,frame_000939.jpg,1920,1080,878
940,frame_000940.jpg,1920,1080,923
941,frame_000941.jpg,1920,1080,914
942,frame_000942.jpg,1920,1080,897
943,frame_000943.jpg,1920,1080,897
944,frame_000944.jpg,1920,1080,864
945,frame_000945.jpg,1920,1080,873
946,frame_000946.jpg,1920,1080,869
947,frame_000947.jpg,1920,1080,843
948,frame_000948.jpg,1920,1080,903
949,frame_000949.jpg,1920,1080,868
950,frame_000950.jpg,1920,1080,903
951,frame_000951.jpg,1920,1080,857
952,frame_000952.jpg,1920,1080,847
953,frame_000953.jpg,1920,1080,848
954,frame_000954.jpg,1920,1080,907
955,frame_000955.jpg,1920,1080,873
956,frame_000956.jpg,1920,1080,868
957,frame_000957.jpg,1920,1080,862
958,frame_000958.jpg,1920,1080,854
959,frame_000959.jpg,1920,1080,905
960,frame_000960.jpg,1920,1080,881
961,frame_000961.jpg,1920,1080,849
962,frame_000962.jpg,1920,1080,843
963,frame_000963.jpg,1920,1080,853
964,frame_000964.jpg,1920,1080,0
965,frame_000965.jpg,1920,1080,849
966,frame_000966.jpg,1920,1080,0
967,frame_000967.jpg,1920,1080,0
968,frame_000968.jpg,1920,1080,1090
969,frame_000969.jpg,1920,1080,0
970,frame_000970.jpg,1920,1080,1106
971,frame_000971.jpg,1920,1080,0
972,frame_000972.jpg,1920,1080,0
973,frame_000973.jpg,1920,1080,0
974,frame_000974.jpg,1920,1080,0
975,frame_000975.jpg,1920,1080,0
976,frame_000976.jpg,1920,1080,0
977,frame_000977.jpg,1920,1080,0
978,frame_000978.jpg,1920,1080,862
979,frame_000979.jpg,1920,1080,1096
980,frame_000980.jpg,1920,1080,856
981,frame_000981.jpg,1920,1080,0
982,frame_000982.jpg,1920,1080,1916
983,frame_000983.jpg,1920,1080,0
984,frame_000984.jpg,1920,1080,0
985,frame_000985.jpg,1920,1080,0
986,frame_000986.jpg,1920,1080,0
987,frame_000987.jpg,1920,1080,843
988,frame_000988.jpg,1920,1080,836
989,frame_000989.jpg,1920,1080,0
990,frame_000990.jpg,1920,1080,0
991,frame_000991.jpg,1920,1080,0
992,frame_000992.jpg,1920,1080,817
993,frame_000993.jpg,1920,1080,0
994,frame_000994.jpg,1920,1080,1092
995,frame_000995.jpg,1920,1080,816
996,frame_000996.jpg,1920,1080,839
997,frame_000997.jpg,1920,1080,854
998,frame_000998.jpg,1920,1080,805
999,frame_000999.jpg,1920,1080,787
1000,frame_001000.jpg,1920,1080,0
1001,frame_001001.jpg,1920,1080,788
1002,frame_001002.jpg,1920,1080,852
1003,frame_001003.jpg,1920,1080,847
1004,frame_001004.jpg,1920,1080,0
1005,frame_001005.jpg,1920,1080,853
1006,frame_001006.jpg,1920,1080,854
1007,frame_001007.jpg,1920,1080,789
1008,frame_001008.jpg,1920,1080,0
1009,frame_001009.jpg,1920,1080,854
1010,frame_001010.jpg,1920,1080,0
1011,frame_001011.jpg,1920,1080,866
1012,frame_001012.jpg,1920,1080,0
1013,frame_001013.jpg,1920,1080,1078
1014,frame_001014.jpg,1920,1080,0
1015,frame_001015.jpg,1920,1080,0
1016,frame_001016.jpg,1920,1080,0
1017,frame_001017.jpg,1920,1080,0
1018,frame_001018.jpg,1920,1080,0
1019,frame_001019.jpg,1920,1080,0
1020,frame_001020.jpg,1920,1080,874
1021,frame_001021.jpg,1920,1080,0
1022,frame_001022.jpg,1920,1080,840
1023,frame_001023.jpg,1920,1080,0
1024,frame_001024.jpg,1920,1080,0
1025,frame_001025.jpg,1920,1080,0
1026,frame_001026.jpg,1920,1080,0
1027,frame_001027.jpg,1920,1080,0
1028,frame_001028.jpg,1920,1080,0
1029,frame_001029.jpg,1920,1080,0
1030,frame_001030.jpg,1920,1080,0
1031,frame_001031.jpg,1920,1080,0
1032,frame_001032.jpg,1920,1080,0
1033,frame_001033.jpg,1920,1080,0
1034,frame_001034.jpg,1920,1080,0
1035,frame_001035.jpg,1920,1080,0
1036,frame_001036.jpg,1920,1080,1062
1037,frame_001037.jpg,1920,1080,0
1038,frame_001038.jpg,1920,1080,0
1039,frame_001039.jpg,1920,1080,0
1040,frame_001040.jpg,1920,1080,0
1041,frame_001041.jpg,1920,1080,0
1042,frame_001042.jpg,1920,1080,0
1043,frame_001043.jpg,1920,1080,0
1044,frame_001044.jpg,1920,1080,1120
1045,frame_001045.jpg,1920,1080,0
1046,frame_001046.jpg,1920,1080,1104
1047,frame_001047.jpg,1920,1080,0
1048,frame_001048.jpg,1920,1080,0
1049,frame_001049.jpg,1920,1080,0
1050,frame_001050.jpg,1920,1080,0
1051,frame_001051.jpg,1920,1080,0
1052,frame_001052.jpg,1920,1080,1098
1053,frame_001053.jpg,1920,1080,1075
1054,frame_001054.jpg,1920,1080,0
1055,frame_001055.jpg,1920,1080,0
1056,frame_001056.jpg,1920,1080,1100
1057,frame_001057.jpg,1920,1080,0
1058,frame_001058.jpg,1920,1080,0
1059,frame_001059.jpg,1920,1080,1114
1060,frame_001060.jpg,1920,1080,0
1061,frame_001061.jpg,1920,1080,0
1062,frame_001062.jpg,1920,1080,1105
1063,frame_001063.jpg,1920,1080,0
1064,frame_001064.jpg,1920,1080,0
1065,frame_001065.jpg,1920,1080,0
1066,frame_001066.jpg,1920,1080,0
1067,frame_001067.jpg,1920,1080,1123
1068,frame_001068.jpg,1920,1080,0
1069,frame_001069.jpg,1920,1080,0
1070,frame_001070.jpg,1920,1080,0
1071,frame_001071.jpg,1920,1080,0
1072,frame_001072.jpg,1920,1080,0
1073,frame_001073.jpg,1920,1080,0
1074,frame_001074.jpg,1920,1080,0
1075,frame_001075.jpg,1920,1080,0
1076,frame_001076.jpg,1920,1080,1125
1077,frame_001077.jpg,1920,1080,1083
1078,frame_001078.jpg,1920,1080,1047
1079,frame_001079.jpg,1920,1080,0
1080,frame_001080.jpg,1920,1080,0
1081,frame_001081.jpg,1920,1080,1098
1082,frame_001082.jpg,1920,1080,1073
1083,frame_001083.jpg,1920,1080,0
1084,frame_001084.jpg,1920,1080,0
1085,frame_001085.jpg,1920,1080,0
1086,frame_001086.jpg,1920,1080,0
1087,frame_001087.jpg,1920,1080,1111
1088,frame_001088.jpg,1920,1080,1106
1089,frame_001089.jpg,1920,1080,0
1090,frame_001090.jpg,1920,1080,0
1091,frame_001091.jpg,1920,1080,0
1092,frame_001092.jpg,1920,1080,0
1093,frame_001093.jpg,1920,1080,1114
1094,frame_001094.jpg,1920,1080,0
1095,frame_001095.jpg,1920,1080,0
1096,frame_001096.jpg,1920,1080,0
1097,frame_001097.jpg,1920,1080,1110
1098,frame_001098.jpg,1920,1080,0
1099,frame_001099.jpg,1920,1080,0
1100,frame_001100.jpg,1920,1080,1061
1101,frame_001101.jpg,1920,1080,0
1102,frame_001102.jpg,1920,1080,0
1103,frame_001103.jpg,1920,1080,0
1104,frame_001104.jpg,1920,1080,1070
1105,frame_001105.jpg,1920,1080,1065
1106,frame_001106.jpg,1920,1080,1099
1107,frame_001107.jpg,1920,1080,0
1108,frame_001108.jpg,1920,1080,0
1109,frame_001109.jpg,1920,1080,1107
1110,frame_001110.jpg,1920,1080,0
1111,frame_001111.jpg,1920,1080,0
1112,frame_001112.jpg,1920,1080,0
1113,frame_001113.jpg,1920,1080,0
1114,frame_001114.jpg,1920,1080,1135
1115,frame_001115.jpg,1920,1080,0
1116,frame_001116.jpg,1920,1080,1076
1117,frame_001117.jpg,1920,1080,1081
1118,frame_001118.jpg,1920,1080,1082
1119,frame_001119.jpg,1920,1080,0
1120,frame_001120.jpg,1920,1080,1075
1121,frame_001121.jpg,1920,1080,1105
1122,frame_001122.jpg,1920,1080,0
1123,frame_001123.jpg,1920,1080,1109
